"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Guilford","Guilford","Guilford County","37081","NC","North Carolina","36.0795","-79.7889","532956"
"Montgomery","Montgomery","Montgomery County","39113","OH","Ohio","39.7547","-84.2907","531988"
"Kane","Kane","Kane County","17089","IL","Illinois","41.9388","-88.4286","531756"
"Chester","Chester","Chester County","42029","PA","Pennsylvania","39.9731","-75.7484","521980"
"Plymouth","Plymouth","Plymouth County","25023","MA","Massachusetts","41.9512","-70.8114","518597"
"Greenville","Greenville","Greenville County","45045","SC","South Carolina","34.8941","-82.3706","516126"
"Sedgwick","Sedgwick","Sedgwick County","20173","KS","Kansas","37.6848","-97.4610","515416"
"Spokane","Spokane","Spokane County","53063","WA","Washington","47.6207","-117.4040","513402"
"Adams","Adams","Adams County","08001","CO","Colorado","39.8737","-104.3379","509844"
"Camden","Camden","Camden County","34007","NJ","New Jersey","39.8035","-74.9597","506721"
"Passaic","Passaic","Passaic County","34031","NJ","New Jersey","41.0343","-74.3008","502763"
"Sonoma","Sonoma","Sonoma County","06097","CA","California","38.5289","-122.8881","496801"
"Morris","Morris","Morris County","34027","NJ","New Jersey","40.8620","-74.5445","492715"
"Lake","Lake","Lake County","18089","IN","Indiana","41.4167","-87.3821","485983"
"Polk","Polk","Polk County","19153","IA","Iowa","41.6855","-93.5735","485418"
"Clark","Clark","Clark County","53011","WA","Washington","45.7791","-122.4826","481950"
"Richmond","Richmond","Richmond County","36085","NY","New York","40.5808","-74.1524","475596"
"Ada","Ada","Ada County","16001","ID","Idaho","43.4511","-116.2412","469473"
"Prince William","Prince William","Prince William County","51153","VA","Virginia","38.7029","-77.4809","466834"
"Seminole","Seminole","Seminole County","12117","FL","Florida","28.7170","-81.2363","466695"
"Hampden","Hampden","Hampden County","25013","MA","Massachusetts","42.1351","-72.6316","466647"
"Knox","Knox","Knox County","47093","TN","Tennessee","35.9932","-83.9371","466184"
"Washoe","Washoe","Washoe County","32031","NV","Nevada","40.6656","-119.6643","464182"
"Tulare","Tulare","Tulare County","06107","CA","California","36.2202","-118.8005","463955"
"Onondaga","Onondaga","Onondaga County","36067","NY","New York","43.0058","-76.1946","461591"
"Virginia Beach","Virginia Beach","Virginia Beach City","51810","VA","Virginia","36.7335","-76.0435","450882"
"York","York","York County","42133","PA","Pennsylvania","39.9200","-76.7265","447628"
"Pinal","Pinal","Pinal County","04021","AZ","Arizona","32.9044","-111.3448","447559"
"Burlington","Burlington","Burlington County","34005","NJ","New Jersey","39.8777","-74.6681","446301"
"Santa Barbara","Santa Barbara","Santa Barbara County","06083","CA","California","34.6729","-120.0169","444895"
"Solano","Solano","Solano County","06095","CA","California","38.2700","-121.9329","444538"
"East Baton Rouge","East Baton Rouge","East Baton Rouge Parish","22033","LA","Louisiana","30.5383","-91.0956","443158"
"Jefferson","Jefferson","Jefferson Parish","22051","LA","Louisiana","29.7872","-90.1274","434903"
"Monterey","Monterey","Monterey County","06053","CA","California","36.2171","-121.2388","432977"
"Lucas","Lucas","Lucas County","39095","OH","Ohio","41.6197","-83.6590","430319"
"Sarasota","Sarasota","Sarasota County","12115","FL","Florida","27.1845","-82.3315","427766"
"Dakota","Dakota","Dakota County","27037","MN","Minnesota","44.6719","-93.0654","425271"
"Cameron","Cameron","Cameron County","48061","TX","Texas","26.1333","-97.5182","422135"
"Berks","Berks","Berks County","42011","PA","Pennsylvania","40.4163","-75.9260","419062"
"Hillsborough","Hillsborough","Hillsborough County","33011","NH","New Hampshire","42.9153","-71.7161","415305"
"Clackamas","Clackamas","Clackamas County","41005","OR","Oregon","45.1880","-122.2209","415084"
"Richland","Richland","Richland County","45079","SC","South Carolina","34.0218","-80.9031","414660"
"Mobile","Mobile","Mobile County","01097","AL","Alabama","30.7872","-88.2058","413977"
"Charleston","Charleston","Charleston County","45019","SC","South Carolina","32.8346","-79.9531","407543"
"Genesee","Genesee","Genesee County","26049","MI","Michigan","43.0217","-83.7067","406770"
"Loudoun","Loudoun","Loudoun County","51107","VA","Virginia","39.0907","-77.6357","405312"
"Waukesha","Waukesha","Waukesha County","55133","WI","Wisconsin","43.0182","-88.3045","402637"
"St. Charles","St. Charles","St. Charles County","29183","MO","Missouri","38.7820","-90.6749","398472"
"Manatee","Manatee","Manatee County","12081","FL","Florida","27.4719","-82.3153","393847"
"Pulaski","Pulaski","Pulaski County","05119","AR","Arkansas","34.7700","-92.3120","393078"
"Placer","Placer","Placer County","06061","CA","California","39.0634","-120.7177","391799"
"Orleans","Orleans","Orleans Parish","22071","LA","Louisiana","30.0687","-89.9288","391249"
"Butler","Butler","Butler County","39017","OH","Ohio","39.4386","-84.5756","382129"
"Orange","Orange","Orange County","36071","NY","New York","41.4021","-74.3056","382077"
"Collier","Collier","Collier County","12021","FL","Florida","26.1107","-81.3475","379345"
"Forsyth","Forsyth","Forsyth County","37067","NC","North Carolina","36.1306","-80.2563","378499"
"Lane","Lane","Lane County","41039","OR","Oregon","43.9387","-122.8479","377749"
"Allen","Allen","Allen County","18003","IN","Indiana","41.0909","-85.0666","375520"
"Stark","Stark","Stark County","39151","OH","Ohio","40.8139","-81.3656","371516"
"Washtenaw","Washtenaw","Washtenaw County","26161","MI","Michigan","42.2532","-83.8388","368385"
"Mercer","Mercer","Mercer County","34021","NJ","New Jersey","40.2834","-74.7018","368085"
"Brazoria","Brazoria","Brazoria County","48039","TX","Texas","29.1897","-95.4521","368062"
"Madison","Madison","Madison County","01089","AL","Alabama","34.7631","-86.5502","367686"
"Lehigh","Lehigh","Lehigh County","42077","PA","Pennsylvania","40.6127","-75.5924","367338"
"Hamilton","Hamilton","Hamilton County","47065","TN","Tennessee","35.1808","-85.1648","364718"
"Osceola","Osceola","Osceola County","12097","FL","Florida","28.0626","-81.1495","363666"
"Nueces","Nueces","Nueces County","48355","TX","Texas","27.7254","-97.6134","362151"
"Marion","Marion","Marion County","12083","FL","Florida","29.2102","-82.0567","360210"
"Lake","Lake","Lake County","12069","FL","Florida","28.7615","-81.7113","356115"
"Bell","Bell","Bell County","48027","TX","Texas","31.0373","-97.4788","355700"
"Anoka","Anoka","Anoka County","27003","MN","Minnesota","45.2733","-93.2465","353775"
"Davis","Davis","Davis County","49011","UT","Utah","40.9900","-112.1115","350761"
"Westmoreland","Westmoreland","Westmoreland County","42129","PA","Pennsylvania","40.3109","-79.4668","350722"
"Larimer","Larimer","Larimer County","08069","CO","Colorado","40.6664","-105.4612","350523"
"Chesterfield","Chesterfield","Chesterfield County","51041","VA","Virginia","37.3785","-77.5870","348500"
"Douglas","Douglas","Douglas County","08035","CO","Colorado","39.3297","-104.9296","344280"
"Horry","Horry","Horry County","45051","SC","South Carolina","33.9214","-78.9966","344186"
"Marion","Marion","Marion County","41047","OR","Oregon","44.9033","-122.5846","343742"
"Galveston","Galveston","Galveston County","48167","TX","Texas","29.3945","-94.9635","337600"
"Cumberland","Cumberland","Cumberland County","37051","NC","North Carolina","35.0487","-78.8277","334562"
"Hamilton","Hamilton","Hamilton County","18057","IN","Indiana","40.0725","-86.0520","330455"
"Somerset","Somerset","Somerset County","34035","NJ","New Jersey","40.5635","-74.6163","330151"
"Henrico","Henrico","Henrico County","51087","VA","Virginia","37.5380","-77.4058","330076"
"Rockland","Rockland","Rockland County","36087","NY","New York","41.1524","-74.0241","325213"
"Boulder","Boulder","Boulder County","08013","CO","Colorado","40.0925","-105.3577","324682"
"Rutherford","Rutherford","Rutherford County","47149","TN","Tennessee","35.8427","-86.4167","324139"
"Howard","Howard","Howard County","24027","MD","Maryland","39.2507","-76.9312","322407"
"Fayette","Fayette","Fayette County","21067","KY","Kentucky","38.0423","-84.4587","322200"
"St. Lucie","St. Lucie","St. Lucie County","12111","FL","Florida","27.3772","-80.4720","320914"
"Durham","Durham","Durham County","37063","NC","North Carolina","36.0360","-78.8766","317665"
"Luzerne","Luzerne","Luzerne County","42079","PA","Pennsylvania","41.1770","-75.9891","317547"
"Escambia","Escambia","Escambia County","12033","FL","Florida","30.6690","-87.3630","316691"
"Lancaster","Lancaster","Lancaster County","31109","NE","Nebraska","40.7842","-96.6878","315976"
"Weld","Weld","Weld County","08123","CO","Colorado","40.5548","-104.3925","315389"
"Spartanburg","Spartanburg","Spartanburg County","45083","SC","South Carolina","34.9309","-81.9908","313791"
"Lorain","Lorain","Lorain County","39093","OH","Ohio","41.2956","-82.1510","309134"
"Lubbock","Lubbock","Lubbock County","48303","TX","Texas","33.6102","-101.8205","308392"
"Rockingham","Rockingham","Rockingham County","33015","NH","New Hampshire","42.9876","-71.1254","308211"
"McHenry","McHenry","McHenry County","17111","IL","Illinois","42.3244","-88.4523","307291"
"Albany","Albany","Albany County","36001","NY","New York","42.6002","-73.9736","306165"
"St. Louis","St. Louis","St. Louis City","29510","MO","Missouri","38.6359","-90.2451","304709"
"Northampton","Northampton","Northampton County","42095","PA","Pennsylvania","40.7542","-75.3076","304233"
"Lexington","Lexington","Lexington County","45063","SC","South Carolina","33.9023","-81.2722","295033"
"Cumberland","Cumberland","Cumberland County","23005","ME","Maine","43.8465","-70.3990","294520"
"Dutchess","Dutchess","Dutchess County","36027","NY","New York","41.7651","-73.7429","293524"
"Anchorage","Anchorage","Anchorage Municipality","02020","AK","Alaska","61.1508","-149.1091","292090"
"Leon","Leon","Leon County","12073","FL","Florida","30.4580","-84.2779","291863"
"Gloucester","Gloucester","Gloucester County","34015","NJ","New Jersey","39.7173","-75.1414","291745"
"Greene","Greene","Greene County","29077","MO","Missouri","37.2580","-93.3420","291574"
"Ingham","Ingham","Ingham County","26065","MI","Michigan","42.5971","-84.3735","290923"
"Chatham","Chatham","Chatham County","13051","GA","Georgia","32.0043","-81.1329","289649"
"Ottawa","Ottawa","Ottawa County","26139","MI","Michigan","42.9598","-85.9961","289162"
"Clayton","Clayton","Clayton County","13063","GA","Georgia","33.5419","-84.3577","287560"
"Thurston","Thurston","Thurston County","53067","WA","Washington","46.9258","-122.8332","284698"
"Winnebago","Winnebago","Winnebago County","17201","IL","Illinois","42.3363","-89.1609","283635"
"San Luis Obispo","San Luis Obispo","San Luis Obispo County","06079","CA","California","35.3871","-120.4044","282517"
"Cleveland","Cleveland","Cleveland County","40027","OK","Oklahoma","35.2031","-97.3265","282189"
"Dauphin","Dauphin","Dauphin County","42043","PA","Pennsylvania","40.4154","-76.7795","277071"
"Webb","Webb","Webb County","48479","TX","Texas","27.7611","-99.3316","274847"
"York","York","York County","45091","SC","South Carolina","34.9748","-81.1845","273887"
"Merced","Merced","Merced County","06047","CA","California","37.1919","-120.7177","273661"
"Benton","Benton","Benton County","05007","AR","Arkansas","36.3387","-94.2561","273510"
"Santa Cruz","Santa Cruz","Santa Cruz County","06087","CA","California","37.0562","-122.0018","273170"
"Erie","Erie","Erie County","42049","PA","Pennsylvania","41.9925","-80.0327","272046"
"St. Joseph","St. Joseph","St. Joseph County","18141","IN","Indiana","41.6167","-86.2899","270881"
"Kitsap","Kitsap","Kitsap County","53035","WA","Washington","47.6130","-122.6716","268945"
"Alachua","Alachua","Alachua County","12001","FL","Florida","29.6748","-82.3577","268105"
"New London","New London","New London County","09011","CT","Connecticut","41.4867","-72.1014","266868"
"Atlantic","Atlantic","Atlantic County","34001","NJ","New Jersey","39.4777","-74.6610","264650"
"Madison","Madison","Madison County","17119","IL","Illinois","38.8297","-89.9049","264403"
"Kalamazoo","Kalamazoo","Kalamazoo County","26077","MI","Michigan","42.2455","-85.5312","264322"
"Brown","Brown","Brown County","55009","WI","Wisconsin","44.4525","-88.0037","262559"
"St. Clair","St. Clair","St. Clair County","17163","IL","Illinois","38.4703","-89.9284","261186"
"Buncombe","Buncombe","Buncombe County","37021","NC","North Carolina","35.6112","-82.5301","259576"
"Marin","Marin","Marin County","06041","CA","California","38.0735","-122.7235","259441"
"Washington","Washington","Washington County","27163","MN","Minnesota","45.0388","-92.8838","259072"
"St. Tammany","St. Tammany","St. Tammany Parish","22103","LA","Louisiana","30.4102","-89.9583","258447"
"Frederick","Frederick","Frederick County","24021","MD","Maryland","39.4722","-77.3980","255955"
"St. Johns","St. Johns","St. Johns County","12109","FL","Florida","29.9016","-81.4407","255410"
"Weber","Weber","Weber County","49057","UT","Utah","41.2698","-111.9134","255284"
"McLennan","McLennan","McLennan County","48309","TX","Texas","31.5524","-97.2018","254045"
"Cherokee","Cherokee","Cherokee County","13057","GA","Georgia","34.2439","-84.4762","253780"
"Harford","Harford","Harford County","24025","MD","Maryland","39.5611","-76.3171","253736"
"Jefferson","Jefferson","Jefferson County","48245","TX","Texas","29.8841","-94.1629","253136"
"Cumberland","Cumberland","Cumberland County","42041","PA","Pennsylvania","40.1636","-77.2655","251487"
"Yakima","Yakima","Yakima County","53077","WA","Washington","46.4570","-120.7385","250649"
"Clay","Clay","Clay County","29047","MO","Missouri","39.3105","-94.4209","246480"
"Norfolk","Norfolk","Norfolk City","51710","VA","Virginia","36.8945","-76.2590","244300"
"Lafayette","Lafayette","Lafayette Parish","22055","LA","Louisiana","30.2068","-92.0639","243692"
"Caddo","Caddo","Caddo Parish","22017","LA","Louisiana","32.5806","-93.8823","243243"
"Chesapeake","Chesapeake","Chesapeake City","51550","VA","Virginia","36.6778","-76.3023","242647"
"Forsyth","Forsyth","Forsyth County","13117","GA","Georgia","34.2255","-84.1251","236605"
"Arlington","Arlington","Arlington County","51013","VA","Virginia","38.8786","-77.1011","236434"
"Washington","Washington","Washington County","05143","AR","Arkansas","35.9791","-94.2156","236198"
"Union","Union","Union County","37179","NC","North Carolina","34.9884","-80.5307","235767"
"Hinds","Hinds","Hinds County","28049","MS","Mississippi","32.2667","-90.4429","235604"
"Warren","Warren","Warren County","39165","OH","Ohio","39.4277","-84.1668","232540"
"Yavapai","Yavapai","Yavapai County","04025","AZ","Arizona","34.5998","-112.5537","232396"
"Williamson","Williamson","Williamson County","47187","TN","Tennessee","35.8938","-86.8987","232380"
"New Hanover","New Hanover","New Hanover County","37129","NC","North Carolina","34.2328","-77.8847","231448"
"Sussex","Sussex","Sussex County","10005","DE","Delaware","38.6606","-75.3900","230249"
"Smith","Smith","Smith County","48423","TX","Texas","32.3750","-95.2692","230184"
"Henry","Henry","Henry County","13151","GA","Georgia","33.4530","-84.1542","229994"
"Lake","Lake","Lake County","39085","OH","Ohio","41.6963","-81.2373","229755"
"Saratoga","Saratoga","Saratoga County","36091","NY","New York","43.1074","-73.8639","229313"
"Richmond","Richmond","Richmond City","51760","VA","Virginia","37.5295","-77.4756","229233"
"Oneida","Oneida","Oneida County","36065","NY","New York","43.2417","-75.4358","229074"
"Mahoning","Mahoning","Mahoning County","39099","OH","Ohio","41.0146","-80.7763","228452"
"Montgomery","Montgomery","Montgomery County","01101","AL","Alabama","32.2203","-86.2076","226451"
"Brazos","Brazos","Brazos County","48041","TX","Texas","30.6608","-96.3024","226370"
"Linn","Linn","Linn County","19113","IA","Iowa","42.0790","-91.5990","225601"
"Jefferson","Jefferson","Jefferson County","29099","MO","Missouri","38.2611","-90.5377","224777"
"Whatcom","Whatcom","Whatcom County","53073","WA","Washington","48.8258","-121.7196","224538"
"Canyon","Canyon","Canyon County","16027","ID","Idaho","43.6251","-116.7093","223890"
"Butte","Butte","Butte County","06007","CA","California","39.6669","-121.6007","223344"
"Hays","Hays","Hays County","48209","TX","Texas","30.0579","-98.0312","222827"
"Gaston","Gaston","Gaston County","37071","NC","North Carolina","35.2944","-81.1803","222119"
"Berkeley","Berkeley","Berkeley County","45015","SC","South Carolina","33.1973","-79.9522","222103"
"Jackson","Jackson","Jackson County","41029","OR","Oregon","42.4322","-122.7285","218781"
"Yolo","Yolo","Yolo County","06113","CA","California","38.6866","-121.9016","218774"
"Baldwin","Baldwin","Baldwin County","01003","AL","Alabama","30.7276","-87.7226","218289"
"Doña Ana","Dona Ana","Doña Ana County","35013","NM","New Mexico","32.3526","-106.8327","217696"
"Shelby","Shelby","Shelby County","01117","AL","Alabama","33.2643","-86.6607","216350"
"Clay","Clay","Clay County","12019","FL","Florida","29.9831","-81.8579","215294"
"Barnstable","Barnstable","Barnstable County","25001","MA","Massachusetts","41.7244","-70.2904","213505"
"Yuma","Yuma","Yuma County","04027","AZ","Arizona","32.7695","-113.9057","211931"
"Cabarrus","Cabarrus","Cabarrus County","37025","NC","North Carolina","35.3868","-80.5519","211605"
"Mohave","Mohave","Mohave County","04015","AZ","Arizona","35.7041","-113.7579","210998"
